"ID","species","plot","treatment","tree_spec","year","abundance","tree_species","inte"
"AGA_2016","Carpophilus_sexpustulatus","A","G","A",2016,3,"A","A*Carpophilus_sexpustulatus"
"AGA_2016","Cerylon_histeroides","A","G","A",2016,2,"A","A*Cerylon_histeroides"
"AGA_2016","Colydium_elongatum","A","G","A",2016,1,"A","A*Colydium_elongatum"
"AGA_2016","Pyrrhidium_sanguineum","A","G","A",2016,9,"A","A*Pyrrhidium_sanguineum"
"AGA_2016","Rhizophagus_nitidulus","A","G","A",2016,1,"A","A*Rhizophagus_nitidulus"
"AGA_2016","Taphrorychus_bicolor","A","G","A",2016,1,"A","A*Taphrorychus_bicolor"
"AGA_2016","Trypodendron_signatum","A","G","A",2016,1,"A","A*Trypodendron_signatum"
"AGA_2016","Xyleborinus_saxesenii","A","G","A",2016,42,"A","A*Xyleborinus_saxesenii"
"AGA_2016","Xylosandrus_germanus","A","G","A",2016,12,"A","A*Xylosandrus_germanus"
"BGA_2016","Orthoperus_corticalis","B","G","A",2016,1,"A","A*Orthoperus_corticalis"
"BGA_2016","Trypodendron_signatum","B","G","A",2016,2,"A","A*Trypodendron_signatum"
"BGA_2016","Xylosandrus_germanus","B","G","A",2016,1,"A","A*Xylosandrus_germanus"
"CGA_2016","Cerylon_histeroides","C","G","A",2016,4,"A","A*Cerylon_histeroides"
"CGA_2016","Cyclorhipidion_bodoanum","C","G","A",2016,1,"A","A*Cyclorhipidion_bodoanum"
"CGA_2016","Megatoma_undata","C","G","A",2016,2,"A","A*Megatoma_undata"
"CGA_2016","Melasis_buprestoides","C","G","A",2016,1,"A","A*Melasis_buprestoides"
"CGA_2016","Ptilinus_pectinicornis","C","G","A",2016,1,"A","A*Ptilinus_pectinicornis"
"CGA_2016","Pyrrhidium_sanguineum","C","G","A",2016,1,"A","A*Pyrrhidium_sanguineum"
"CGA_2016","Trypodendron_signatum","C","G","A",2016,5,"A","A*Trypodendron_signatum"
"DGA_2016","Colydium_elongatum","D","G","A",2016,1,"A","A*Colydium_elongatum"
"DGA_2016","Crypturgus_hispidulus","D","G","A",2016,1,"A","A*Crypturgus_hispidulus"
"DGA_2016","Plegaderus_dissectus","D","G","A",2016,1,"A","A*Plegaderus_dissectus"
"DGA_2016","Ptilinus_pectinicornis","D","G","A",2016,2,"A","A*Ptilinus_pectinicornis"
"DGA_2016","Pyrrhidium_sanguineum","D","G","A",2016,3,"A","A*Pyrrhidium_sanguineum"
"DGA_2016","Rhizophagus_nitidulus","D","G","A",2016,3,"A","A*Rhizophagus_nitidulus"
"DGA_2016","Salpingus_ruficollis","D","G","A",2016,1,"A","A*Salpingus_ruficollis"
"DGA_2016","Saperda_perforata","D","G","A",2016,3,"A","A*Saperda_perforata"
"DGA_2016","Silvanus_bidentatus","D","G","A",2016,1,"A","A*Silvanus_bidentatus"
"DGA_2016","Xylosandrus_germanus","D","G","A",2016,1,"A","A*Xylosandrus_germanus"
